,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
223,827,827,nodejs,CVE-2012-2330,debian:unstable,0.6.17~dfsg1-1,debian,2012-05-07,,
224,828,828,nodejs,CVE-2013-4450,debian:unstable,0.10.21~dfsg1-1,debian,2013-10-19,,
225,829,829,nodejs,CVE-2016-1669,debian:unstable,4.4.6~dfsg-1,debian,2016-05-11,,
226,831,831,nodejs,CVE-2015-6764,debian:unstable,4.2.3~dfsg-1,debian,2015-11-25,,
227,832,832,nodejs,CVE-2019-5739,debian:unstable,8.9.3~dfsg-5,debian,2019-02-28,2018-01-05,419.0
228,834,834,nodejs,CVE-2018-7164,debian:unstable,10.15.0~dfsg-6,debian,2018-06-12,2019-01-07,209.0
229,835,835,nodejs,CVE-2016-7099,debian:unstable,4.6.0~dfsg-1,debian,2016-09-27,,
230,836,836,nodejs,CVE-2014-9748,debian:unstable,4.0.0~dfsg-1,debian,2016-06-13,,
231,837,837,nodejs,CVE-2018-7162,debian:unstable,10.15.0~dfsg-6,debian,2018-06-12,2019-01-07,209.0
232,838,838,nodejs,CVE-2015-8027,debian:unstable,4.2.3~dfsg-1,debian,2015-11-25,,
233,840,840,nodejs,CVE-2019-9513,debian:unstable,#MAXV#,debian,2019-08-13,,
234,843,843,nodejs,CVE-2016-5325,debian:unstable,4.6.0~dfsg-1,debian,2016-09-27,,
235,844,844,nodejs,CVE-2017-11499,debian:unstable,4.8.4~dfsg-1,debian,2017-07-11,2018-02-25,229.0
236,845,845,nodejs,CVE-2018-12120,debian:unstable,8.9.3~dfsg-5,debian,2018-11-28,2018-01-05,327.0
237,959,959,nodejs,RHSA-2019:2925,centos:8,1:10.16.3-2.module+el8.0.0+4214+49953fda,centos,,,
238,960,960,zip,CVE-2018-13410,debian:unstable,#MAXV#,debian,,,
239,961,961,zip,CVE-2004-1010,debian:unstable,2.30-8,debian,2004-11-03,,
240,968,968,libcap,ELSA-2011-1694,oracle:6,0:2.16-5.5.el6,oracle,,,
241,969,969,libcap,RHSA-2011:1694,centos:6,0:2.16-5.5.el6,centos,2011-12-07,,
242,970,970,tcl,ELSA-2013-0122,oracle:5,0:8.4.13-6.el5,oracle,,,
243,971,971,tcl,RHSA-2013:0122,centos:5,0:8.4.13-6.el5,centos,2008-01-06,,
244,972,972,subversion,CVE-2017-9800,alpine:v3.7,1.9.7-r0,alpine,2017-08-11,,
245,973,973,subversion,CVE-2019-0203,alpine:v3.7,1.9.12-r0,alpine,2019-07-31,,
246,974,974,subversion,CVE-2018-11782,alpine:v3.7,1.9.12-r0,alpine,2019-07-31,,
247,975,975,subversion,CVE-2018-11803,alpine:v3.9,1.11.1-r0,alpine,2019-01-22,,
248,991,991,subversion,CVE-2013-1849,debian:unstable,1.7.9-1,debian,2013-03-05,,
249,992,992,subversion,CVE-2010-4539,debian:unstable,1.6.12dfsg-4,debian,2011-01-02,,
250,993,993,subversion,CVE-2004-0413,debian:unstable,1.0.5-1,debian,2004-06-11,,
251,994,994,subversion,CVE-2015-5343,debian:unstable,1.9.3-1,debian,2015-12-17,2016-01-21,35.0
252,995,995,subversion,CVE-2010-4644,debian:unstable,1.6.12dfsg-3,debian,2011-01-02,,
253,996,996,subversion,CVE-2006-1564,debian:unstable,1.3.0-5,debian,2006-03-27,,
254,998,998,subversion,CVE-2013-1845,debian:unstable,1.7.9-1,debian,2013-04-04,,
255,999,999,subversion,CVE-2013-4277,debian:unstable,1.7.13-1,debian,2013-09-07,,
256,1000,1000,subversion,CVE-2013-2112,debian:unstable,1.7.9-1+nmu2,debian,2013-06-04,,
257,1001,1001,subversion,CVE-2015-3184,debian:unstable,1.9.0-1,debian,2015-08-07,2015-09-13,37.0
258,1002,1002,subversion,CVE-2015-3187,debian:unstable,1.9.0-1,debian,2015-08-07,2015-09-13,37.0
259,1003,1003,subversion,CVE-2015-5259,debian:unstable,1.9.3-1,debian,2015-12-17,2016-01-21,35.0
260,1004,1004,subversion,CVE-2016-2168,debian:unstable,1.9.4-1,debian,2016-04-29,2016-08-01,94.0
261,1006,1006,subversion,CVE-2013-4262,debian:unstable,1.8.5-1,debian,2014-07-28,,
262,1007,1007,subversion,CVE-2014-8108,debian:unstable,1.8.10-5,debian,2014-10-10,2015-04-04,176.0
263,1008,1008,subversion,CVE-2014-3528,debian:unstable,1.8.10-1,debian,2014-08-01,,
